1,Sogo Kelapa Gading,S003,-,-,-
2,Sogo Plaza Tunjungan,S005,-,-,-
3,Sogo Sun Plaza,S008,-,-,-
4,Sogo Paris Van Java,S012,-,-,-
5,Sogo Galaxy Mall,S013,-,-,-
6,Sogo Discovery Mall,S015,-,-,-
7,Sogo Emporium Pluit,S016,-,-,-
8,Sogo Kota Kasablanka,S029,-,-,-
9,Sogo Big Mall Samarinda,S041,-,-,-
10,Sogo Lippo Mall Puri,S042,-,-,-
11,Sogo Pakuwon Mall Surabaya,S044,-,-,-
12,Supermal Karawaci store,S045,-,-,-
13,SOGO Delipark,S046,-,-,-
14,Sogo Central Park,S018,-,-,-
